City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,entebbe,0.0644,32.4469,21.18,88,20,0.0,UG,1688946918
260,tual,-5.6667,132.75,26.58,85,74,9.01,ID,1688946918
261,port lincoln,-34.7333,135.8667,14.42,71,78,6.48,AU,1688946918
262,rio grande,-32.035,-52.0986,15.53,87,67,4.05,BR,1688946918
263,hithadhoo,-0.6,73.0833,27.12,72,23,0.93,MV,1688946919
264,ilhabela,-23.7781,-45.3581,20.26,89,100,2.65,BR,1688946919
265,narva,59.3772,28.1903,8.95,86,82,2.14,EE,1688946700
266,mufulira,-12.5498,28.2407,13.6,61,1,2.22,ZM,1688946920
267,akureyri,65.6835,-18.0878,11.96,58,20,0.51,IS,1688946921
268,naryshkino,52.9678,35.7268,12.87,85,96,4.73,RU,1688946921
269,aykhal,66.0,111.5,23.1,44,44,7.94,RU,1688946922
270,castillos,-34.1667,-53.8333,13.47,87,100,1.63,UY,1688946922
271,kangding,30.0513,101.9603,19.63,74,86,0.7,CN,1688946922
272,baie-comeau,49.2168,-68.1489,15.82,100,75,2.06,CA,1688946923
273,saint-philippe,-21.3585,55.7679,20.77,74,79,3.89,RE,1688946923
274,kill devil hills,36.0307,-75.676,25.01,91,75,2.57,US,1688946924
275,pariaman,-0.619,100.12,24.84,88,93,1.88,ID,1688946924
276,afaahiti,-17.75,-149.2833,26.93,84,94,10.39,PF,1688946924
277,lerwick,60.1545,-1.1494,14.0,98,100,3.66,GB,1688946924
278,metlili chaamba,32.2667,3.6333,33.52,13,0,0.0,DZ,1688946925
279,zhezqazghan,47.7833,67.7667,22.98,34,2,3.52,KZ,1688946925
280,deqen,29.9618,90.7188,12.8,82,100,1.03,CN,1688946925
281,san fernando de apure,7.8878,-67.4724,24.53,92,16,1.15,VE,1688946926
282,shagonar,51.5333,92.8,18.06,61,89,0.16,RU,1688946926
283,rabo de peixe,37.8,-25.5833,20.73,88,40,3.09,PT,1688946926
284,verkhnevilyuysk,63.4453,120.3167,22.55,49,78,3.98,RU,1688946927
285,illela,13.7292,5.2975,28.37,60,84,3.92,NG,1688946927
286,columbiana,40.8884,-80.694,22.3,74,93,2.77,US,1688946927
287,naberera,-4.2,36.9333,12.71,93,24,1.95,TZ,1688946927
288,impfondo,1.6381,18.0667,22.28,88,41,0.65,CG,1688946928
289,luckau,51.85,13.7167,22.07,46,63,2.89,DE,1688946928
290,elliot lake,46.3834,-82.6331,18.23,56,8,1.97,CA,1688946928
291,island harbour,50.724,-1.2758,15.66,91,85,0.45,GB,1688946929
292,gorgan,36.8387,54.4348,23.98,88,0,0.0,IR,1688946929
293,tadine,-21.55,167.8833,21.77,51,45,4.4,NC,1688946929
294,show low,34.2542,-110.0298,31.16,16,0,3.6,US,1688946930
295,monument,39.0917,-104.8728,25.21,60,40,4.63,US,1688946930
296,bozova,37.3625,38.5267,23.51,40,2,3.31,TR,1688946931
297,fale old settlement,-9.3852,-171.2468,28.8,78,100,7.58,TK,1688946931
298,brisas de zicatela,15.8369,-97.0419,28.69,69,80,1.31,MX,1688946932
299,dolbeau-mistassini,48.8763,-72.212,26.36,81,100,2.86,CA,1688946932
300,cannonvale,-20.2833,148.7,19.66,62,75,6.66,AU,1688946933
301,port hedland,-20.3167,118.5667,20.03,30,100,6.69,AU,1688946933
302,nantucket,41.2835,-70.0995,24.03,98,100,3.57,US,1688946933
303,invercargill,-46.4,168.35,8.21,81,15,1.97,NZ,1688946933
304,santana,-0.0583,-51.1817,28.1,83,40,5.14,BR,1688946934
305,tyazhinskiy,56.116,88.524,14.6,93,69,2.61,RU,1688946934
306,papao,-17.75,-149.55,27.82,83,87,11.53,PF,1688946934
307,ogaki,35.35,136.6167,30.09,78,41,0.76,JP,1688946935
308,chibougamau,49.9168,-74.3659,20.79,68,75,2.06,CA,1688946935
309,kingscliff,-28.2667,153.5667,18.76,52,33,1.54,AU,1688946936
310,simpang,-1.2667,104.0833,23.72,97,87,1.29,ID,1688946936
311,marang,5.2056,103.2059,24.96,89,91,1.57,MY,1688946936
